episode,total_reward,avg_q_value,min_q_value,max_q_value,win,steps,epsilon
1,-181.0,0.0,0,0,0,44,1.0
2,-176.5,0.0,0,0,0,27,1.0
3,-220.0,0.0,0,0,0,76,1.0
4,-136.5,0.0,0,0,0,36,1.0
5,-218.0,0.0,0,0,0,72,1.0
6,-205.0,0.0,0,0,0,36,1.0
7,-176.5,0.0,0,0,0,46,1.0
8,-117.5,0.0,0,0,0,57,1.0
9,-138.0,0.0,0,0,0,25,1.0
10,-246.5,0.0,0,0,0,87,1.0
11,-103.5,0.0,0,0,0,61,1.0
12,-146.5,0.0,0,0,0,35,1.0
13,-162.5,0.0,0,0,0,59,1.0
14,-184.5,0.0,0,0,0,27,1.0
15,-188.5,0.0,0,0,0,52,1.0
16,-213.5,0.0,0,0,0,46,1.0
17,-146.5,0.0,0,0,0,21,1.0
18,-163.5,0.0,0,0,0,27,1.0
19,-213.0,0.0,0,0,0,84,1.0
20,-164.0,0.0,0,0,0,28,1.0
21,-120.0,0.0,0,0,0,59,1.0
22,-129.5,0.0,0,0,0,49,1.0
23,-170.5,0.0,0,0,0,18,1.0
24,-222.0,0.0,0,0,0,65,1.0
25,-234.5,0.0,0,0,0,91,1.0
26,-206.5,0.0,0,0,0,73,1.0
27,-192.5,0.0,0,0,0,18,1.0
28,-212.5,0.0,0,0,0,41,1.0
29,-222.0,0.0,0,0,0,95,1.0
30,-191.0,0.0,0,0,0,44,1.0
31,-244.5,0.0,0,0,0,119,1.0
32,-217.0,0.0,0,0,0,32,1.0
33,-197.5,0.0,0,0,0,27,1.0
34,-164.0,0.0,0,0,0,61,1.0
35,-162.0,0.0,0,0,0,104,1.0
36,-214.0,0.0,0,0,0,68,1.0
37,-224.0,0.0,0,0,0,75,1.0
38,-207.5,0.0,0,0,0,29,1.0
39,-191.5,0.0,0,0,0,42,1.0
40,-107.0,0.0,0,0,0,33,1.0
41,-150.0,0.0,0,0,0,49,1.0
42,-162.0,0.0,0,0,0,45,1.0
43,-109.5,0.0,0,0,0,130,1.0
44,-203.0,0.0,0,0,0,20,1.0
45,-159.0,0.0,0,0,0,68,1.0
46,-158.0,0.0,0,0,0,65,1.0
47,-159.0,0.0,0,0,0,62,1.0
48,-157.5,0.0,0,0,0,44,1.0
49,-175.0,0.0,0,0,0,14,1.0
50,-141.0,0.0,0,0,0,21,1.0
51,-196.0,0.0,0,0,0,31,1.0
52,-162.0,0.0,0,0,0,43,1.0
53,-228.0,0.0,0,0,0,55,1.0
54,-166.5,0.0,0,0,0,53,1.0
55,-121.5,0.0,0,0,0,77,1.0
56,-207.0,0.0,0,0,0,31,1.0
57,-202.0,0.0,0,0,0,21,1.0
58,-180.0,0.0,0,0,0,31,1.0
59,-194.0,0.0,0,0,0,49,1.0
60,-141.5,0.0,0,0,0,103,0.9868
61,-208.0,0.0,0,0,0,26,0.9834666666666667
62,-210.0,-10.725981,-11.962291,-9.9833145,0,118,0.9678666666666667
63,-200.5,-11.08383,-11.288608,-11.08383,0,26,0.9645333333333334
64,-189.0,0.0,0,0,0,52,0.9577333333333333
65,-172.5,-8.782908,-10.8558035,-7.46175,0,39,0.9526666666666667
66,-214.5,-9.691108,-11.828227,-8.454967,0,92,0.9405333333333333
67,-151.0,-12.914573,-14.866803,-11.991325,0,16,0.9385333333333333
68,-212.0,-9.640283,-12.977654,-8.06213,0,88,0.9269333333333334
69,-194.5,-10.049622,-10.551433,-10.049622,0,16,0.9249333333333334
70,-106.5,-11.207499,-14.0318575,-9.281506,0,211,0.8969333333333334
71,-178.0,-10.513995,-12.10167,-9.789287,0,82,0.8861333333333333
72,-204.5,-10.364257,-11.59279,-9.9074745,0,39,0.8810666666666667
73,-155.5,-10.574798,-11.720162,-10.103573,0,19,0.8786666666666667
74,-211.5,-11.400984,-11.797395,-11.400984,0,37,0.8738666666666667
75,-206.0,-12.57179,-13.569901,-11.442035,0,36,0.8692
76,-165.0,-10.202725,-11.951392,-9.617869,0,33,0.8649333333333333
77,-204.5,-11.247377,-14.164857,-9.016068,0,64,0.8565333333333334
78,-189.0,-9.809097,-11.42304,-8.665074,0,38,0.8516
79,-185.5,-13.278959,-14.449334,-11.594563,0,52,0.8448
80,-161.0,-11.298039,-14.098266,-8.489921,0,37,0.84
81,-179.5,-10.324344,-11.576328,-9.531864,0,16,0.838
82,-47.0,-13.362695,-19.434172,-7.4856367,0,337,0.7932
83,-168.0,-10.24938,-16.22587,-4.804621,0,38,0.7882666666666667
84,-97.5,-12.636537,-18.409529,-3.8858654,0,67,0.7794666666666666
