episode,total_reward,avg_q_value,min_q_value,max_q_value,win,steps,epsilon
1,-203.5,0.0,0,0,0,46,1.0
2,-181.0,0.0,0,0,0,111,1.0
3,-191.0,0.0,0,0,0,13,1.0
4,-188.0,0.0,0,0,0,13,1.0
5,-205.5,0.0,0,0,0,33,1.0
6,-119.5,0.0,0,0,0,38,1.0
7,-210.5,0.0,0,0,0,36,1.0
8,-196.5,0.0,0,0,0,23,1.0
9,-155.0,0.0,0,0,0,24,1.0
10,-165.0,0.0,0,0,0,12,1.0
11,-194.5,0.0,0,0,0,82,1.0
12,-218.5,0.0,0,0,0,38,1.0
13,-203.0,0.0,0,0,0,27,1.0
14,-191.0,0.0,0,0,0,21,1.0
15,-144.5,0.0,0,0,0,29,1.0
16,-181.0,0.0,0,0,0,22,1.0
17,-202.0,0.0,0,0,0,33,1.0
18,-144.5,0.0,0,0,0,21,1.0
19,-114.0,0.0,0,0,0,46,1.0
20,-193.0,0.0,0,0,0,16,1.0
21,-197.5,0.0,0,0,0,23,1.0
22,-207.0,0.0,0,0,0,15,1.0
23,-169.5,0.0,0,0,0,22,1.0
24,-151.5,0.0,0,0,0,74,1.0
25,-181.0,0.0,0,0,0,36,1.0
26,-135.5,0.0,0,0,0,38,1.0
27,-120.0,0.0,0,0,0,53,1.0
28,-211.5,0.0,0,0,0,14,1.0
29,-113.5,0.0,0,0,0,25,1.0
30,-169.0,0.0,0,0,0,12,1.0
31,-200.0,0.0,0,0,0,19,1.0
32,-124.0,0.0,0,0,0,34,1.0
33,-198.5,0.0,0,0,0,38,1.0
34,-169.5,0.0,0,0,0,24,1.0
35,-203.5,0.0,0,0,0,14,1.0
36,-223.0,0.0,0,0,0,27,1.0
37,-156.5,0.0,0,0,0,52,1.0
38,-114.0,0.0,0,0,0,21,1.0
39,-179.0,0.0,0,0,0,23,1.0
40,-191.5,0.0,0,0,0,21,1.0
41,-193.5,0.0,0,0,0,26,1.0
42,-189.0,0.0,0,0,0,48,1.0
43,-141.5,0.0,0,0,0,19,1.0
44,-169.5,0.0,0,0,0,36,1.0
45,-164.0,0.0,0,0,0,26,1.0
46,-179.5,0.0,0,0,0,23,1.0
47,-218.5,0.0,0,0,0,38,1.0
48,-182.0,0.0,0,0,0,26,1.0
49,-200.5,0.0,0,0,0,46,1.0
50,-192.5,0.0,0,0,0,22,1.0
51,-156.5,0.0,0,0,0,19,1.0
52,-172.5,0.0,0,0,0,21,1.0
53,-209.5,0.0,0,0,0,30,1.0
54,-202.0,0.0,0,0,0,32,1.0
55,-187.5,0.0,0,0,0,17,1.0
56,-198.5,0.0,0,0,0,38,1.0
57,-208.5,0.0,0,0,0,17,1.0
58,-204.5,0.0,0,0,0,38,1.0
59,-205.0,0.0,0,0,0,18,1.0
60,-194.5,0.0,0,0,0,31,1.0
61,-182.0,0.0,0,0,0,12,1.0
62,-164.5,0.0,0,0,0,21,1.0
63,-214.5,0.0,0,0,0,72,1.0
64,-209.0,0.0,0,0,0,39,1.0
65,-187.0,0.0,0,0,0,19,1.0
66,-170.0,0.0,0,0,0,34,1.0
67,-170.5,0.0,0,0,0,49,1.0
68,-205.5,0.0,0,0,0,37,1.0
69,-169.5,0.0,0,0,0,28,1.0
70,-194.0,0.0,0,0,0,24,1.0
71,-212.0,0.0,0,0,0,17,1.0
72,-170.5,0.0,0,0,0,22,1.0
73,-221.5,0.0,0,0,0,83,1.0
74,-194.0,0.0,0,0,0,25,1.0
75,-126.0,0.0,0,0,0,37,1.0
76,-203.5,0.0,0,0,0,23,1.0
77,-214.5,0.0,0,0,0,64,1.0
78,-202.5,0.0,0,0,0,35,1.0
79,-177.0,0.0,0,0,0,25,1.0
80,-230.0,0.0,0,0,0,49,1.0
81,-189.5,0.0,0,0,0,27,1.0
82,-207.0,0.0,0,0,0,20,1.0
83,-170.0,0.0,0,0,0,17,1.0
84,-216.0,0.0,0,0,0,23,1.0
85,-167.5,0.0,0,0,0,25,1.0
86,-87.5,0.0,0,0,0,49,1.0
87,-179.0,0.0,0,0,0,20,1.0
88,-220.0,0.0,0,0,0,56,1.0
89,-165.5,0.0,0,0,0,48,1.0
90,-167.5,0.0,0,0,0,17,1.0
91,-171.5,0.0,0,0,0,37,1.0
92,-171.0,0.0,0,0,0,38,1.0
93,-188.0,0.0,0,0,0,18,1.0
94,-169.5,0.0,0,0,0,25,1.0
95,-203.5,0.0,0,0,0,27,1.0
96,-175.5,0.0,0,0,0,61,0.992
97,-112.0,-5.1228437,-5.6854844,-5.1228437,0,75,0.9821333333333333
98,-209.0,0.0,0,0,0,32,0.978
99,-191.5,-9.766071,-10.4872675,-9.766071,0,15,0.9761333333333333
100,-189.5,-6.317976,-7.2829156,-6.317976,0,18,0.9738666666666667
101,-188.0,0.0,0,0,0,22,0.9710666666666666
102,-136.5,-6.8589563,-7.6834965,-6.6891255,0,43,0.9654666666666667
103,-181.0,-8.789176,-9.809657,-8.789176,0,34,0.9610666666666666
104,-167.5,-9.093512,-10.524536,-8.029034,0,44,0.9553333333333334
105,-171.5,-7.1194806,-8.355387,-6.607002,0,36,0.9506666666666667
106,-228.5,-6.8311105,-7.8641586,-6.8311105,0,32,0.9465333333333333
107,-209.5,0.0,0,0,0,25,0.9433333333333334
108,-172.0,-7.0825458,-7.942343,-7.0527034,0,31,0.9393333333333334
109,-225.5,-7.171393,-8.84004,-6.4435763,0,52,0.9325333333333333
110,-192.0,-7.8207026,-8.807811,-7.7832417,0,19,0.9301333333333334
111,-176.0,-5.569047,-6.1906433,-5.569047,0,19,0.9277333333333333
112,-176.5,-7.3401117,-9.008414,-6.3039656,0,42,0.9222666666666667
113,-186.0,-5.5674787,-7.2673597,-4.7905188,0,31,0.9182666666666667
114,-209.5,0.0,0,0,0,15,0.9164
115,-206.0,-7.8503547,-9.671644,-6.92451,0,21,0.9137333333333333
116,-208.0,-5.2203937,-6.0316024,-5.2203937,0,16,0.9117333333333333
117,-211.5,-7.110488,-8.884305,-5.8630943,0,48,0.9054666666666666
118,-193.0,-8.718664,-9.371981,-8.681766,0,23,0.9025333333333333
119,-168.0,-7.6341643,-8.591609,-7.2692723,0,15,0.9006666666666667
120,-182.5,-6.565412,-7.70355,-6.072351,0,48,0.8944
121,-137.5,-8.195104,-10.153394,-6.576282,0,25,0.8912
122,-198.0,-8.143086,-9.799796,-7.749042,0,50,0.8846666666666667
123,-191.0,-8.513742,-10.269841,-7.6044183,0,34,0.8802666666666666
124,-189.0,-7.7743,-8.605936,-7.717047,0,19,0.8778666666666667
125,-172.0,-7.8333526,-8.557407,-7.8333526,0,19,0.8754666666666666
126,-195.0,-8.747287,-11.111784,-6.5344687,0,36,0.8708
127,-210.0,-6.987986,-9.979337,-5.4448476,0,45,0.8649333333333333
128,-183.0,-7.7596183,-12.802742,-5.417283,0,28,0.8613333333333333
129,-209.5,-7.8076553,-9.641506,-7.2404714,0,25,0.8581333333333333
130,-194.5,-9.179838,-11.695118,-7.4014516,0,42,0.8526666666666667
131,-198.0,-6.4320874,-11.050327,-3.0081835,0,38,0.8477333333333333
132,-129.5,-11.84362,-22.715872,-6.335136,0,71,0.8384
133,-163.5,-2.4930968,-6.6047373,-0.27005312,0,26,0.8350666666666666
134,-167.0,-3.422855,-10.596823,-0.63097835,0,34,0.8306666666666667
135,-110.0,-10.373372,-23.949173,-5.758784,0,45,0.8248
136,-187.0,0.13290745,-2.625772,1.0760875,0,24,0.8217333333333333
137,-204.5,-1.5789555,-5.0397205,-0.6247505,0,37,0.8169333333333333
138,-214.5,-2.927205,-4.1464405,-2.1750493,0,18,0.8146666666666667
139,-176.0,-4.8849707,-10.810449,-0.14615786,0,19,0.8122666666666667
140,-138.0,-4.0730505,-13.001703,1.3559347,0,34,0.8078666666666667
141,-183.0,-2.3411617,-6.1394725,-0.24005324,0,19,0.8054666666666667
142,-180.0,-5.3530726,-12.612431,0.330753,0,28,0.8018666666666667
143,-166.0,-6.4325585,-9.98954,-4.3267093,0,29,0.7981333333333334
144,-201.5,-2.9993355,-5.022959,-2.8118682,0,39,0.7930666666666667
145,-86.5,-2.5449748,-6.899462,2.8924117,0,25,0.7898666666666667
146,-180.5,3.2026002,1.0238471,5.0424337,0,37,0.7850666666666667
147,-139.5,-4.404221,-9.063539,-1.7719622,0,32,0.7809333333333334
148,-160.0,-1.331982,-5.4772587,2.376327,0,26,0.7776000000000001
