episode,total_reward,avg_q_value,min_q_value,max_q_value,win,steps,epsilon
1,-199.0,0.0,0,0,0,19,1.0
2,-78.5,0.0,0,0,0,37,1.0
3,-186.5,0.0,0,0,0,32,1.0
4,-150.5,0.0,0,0,0,27,1.0
5,-200.5,0.0,0,0,0,27,1.0
6,-201.5,0.0,0,0,0,35,1.0
7,-183.0,0.0,0,0,0,30,1.0
8,-201.0,0.0,0,0,0,34,1.0
9,-178.0,0.0,0,0,0,20,1.0
10,-189.0,0.0,0,0,0,42,1.0
11,-196.5,0.0,0,0,0,29,1.0
12,-180.0,0.0,0,0,0,16,1.0
13,-183.5,0.0,0,0,0,19,1.0
14,-196.5,0.0,0,0,0,60,1.0
15,-163.0,0.0,0,0,0,27,1.0
16,-171.0,0.0,0,0,0,25,1.0
17,-144.5,0.0,0,0,0,89,1.0
18,-154.5,0.0,0,0,0,31,1.0
19,-145.0,0.0,0,0,0,44,1.0
20,-222.0,0.0,0,0,0,50,1.0
21,-84.0,0.0,0,0,0,47,1.0
22,-173.0,0.0,0,0,0,12,1.0
23,-193.5,0.0,0,0,0,27,1.0
24,-188.0,0.0,0,0,0,31,1.0
25,-190.5,0.0,0,0,0,38,1.0
26,-111.0,0.0,0,0,0,49,1.0
27,-135.5,0.0,0,0,0,47,1.0
28,-185.5,0.0,0,0,0,45,1.0
29,-180.5,0.0,0,0,0,31,1.0
30,-208.0,0.0,0,0,0,16,1.0
31,-187.5,0.0,0,0,0,24,1.0
32,-215.0,0.0,0,0,0,21,1.0
33,-198.5,0.0,0,0,0,24,1.0
34,-148.5,0.0,0,0,0,72,1.0
35,-197.5,0.0,0,0,0,45,1.0
36,-185.5,0.0,0,0,0,46,1.0
37,-184.0,0.0,0,0,0,33,1.0
38,-209.5,0.0,0,0,0,39,1.0
39,-207.0,0.0,0,0,0,25,1.0
40,-198.0,0.0,0,0,0,35,1.0
41,-184.5,0.0,0,0,0,17,1.0
42,-212.0,0.0,0,0,0,18,1.0
43,-132.0,0.0,0,0,0,77,1.0
44,-183.0,0.0,0,0,0,33,1.0
45,-162.0,0.0,0,0,0,16,1.0
46,-208.5,0.0,0,0,0,24,1.0
47,-198.5,0.0,0,0,0,23,1.0
48,-209.5,0.0,0,0,0,29,1.0
49,-212.0,0.0,0,0,0,27,1.0
50,-182.5,0.0,0,0,0,38,1.0
51,-182.5,0.0,0,0,0,19,1.0
52,-193.5,0.0,0,0,0,15,1.0
53,-179.5,0.0,0,0,0,19,1.0
54,-199.5,0.0,0,0,0,20,1.0
55,-209.0,0.0,0,0,0,43,1.0
56,-144.5,0.0,0,0,0,30,1.0
57,-196.0,0.0,0,0,0,18,1.0
58,-182.5,0.0,0,0,0,25,1.0
59,-180.0,0.0,0,0,0,20,1.0
60,-180.5,0.0,0,0,0,22,1.0
61,-195.5,0.0,0,0,0,46,1.0
62,-179.5,0.0,0,0,0,23,1.0
63,-152.5,0.0,0,0,0,18,1.0
64,-148.0,0.0,0,0,0,13,1.0
65,-199.5,0.0,0,0,0,26,1.0
66,-141.5,0.0,0,0,0,42,1.0
67,-187.0,0.0,0,0,0,25,1.0
68,-195.5,0.0,0,0,0,26,1.0
69,-213.5,0.0,0,0,0,37,1.0
70,-181.5,0.0,0,0,0,13,1.0
71,-187.0,0.0,0,0,0,42,1.0
72,-195.5,0.0,0,0,0,33,1.0
73,-190.0,0.0,0,0,0,20,1.0
74,-198.0,0.0,0,0,0,55,1.0
75,-130.5,0.0,0,0,0,16,1.0
76,-184.0,0.0,0,0,0,16,1.0
77,-171.0,0.0,0,0,0,19,1.0
78,-167.5,0.0,0,0,0,19,1.0
79,-219.5,0.0,0,0,0,35,1.0
80,-194.5,0.0,0,0,0,25,1.0
81,-152.0,0.0,0,0,0,29,1.0
82,-198.0,0.0,0,0,0,40,1.0
83,-180.5,0.0,0,0,0,34,1.0
84,-195.5,0.0,0,0,0,18,1.0
85,-211.0,0.0,0,0,0,46,1.0
86,-207.5,0.0,0,0,0,21,1.0
87,-158.0,0.0,0,0,0,16,1.0
88,-177.0,0.0,0,0,0,27,1.0
89,-201.0,0.0,0,0,0,18,1.0
90,-153.0,0.0,0,0,0,56,1.0
91,-205.0,0.0,0,0,0,26,1.0
92,-204.5,0.0,0,0,0,15,1.0
93,-95.5,0.0,0,0,0,130,1.0
94,-155.0,0.0,0,0,0,52,0.9989333333333333
95,-200.0,0.0,0,0,0,31,0.9949333333333333
96,-160.5,-6.704162,-7.5382943,-6.704162,0,53,0.988
97,-190.5,-7.9300327,-8.583423,-7.9300327,0,16,0.986
98,-141.0,-7.900857,-8.756038,-7.900857,0,50,0.9794666666666667
99,-145.5,-7.2364945,-8.1621275,-7.2364945,0,14,0.9777333333333333
100,-197.5,0.0,0,0,0,33,0.9734666666666667
101,-193.5,0.0,0,0,0,26,0.9701333333333333
102,-143.5,-6.486595,-7.6522207,-6.182464,0,51,0.9634666666666667
103,-196.0,-8.228016,-10.477528,-6.659992,0,69,0.9544
104,-204.5,-6.5957365,-7.461023,-6.317379,0,25,0.9512
105,-156.0,-6.194439,-7.2906656,-5.9199533,0,40,0.946
106,-155.5,-11.916217,-12.79856,-11.477445,0,25,0.9428
