episode,total_reward,avg_q_value,min_q_value,max_q_value,win,steps,epsilon
1,-202.5,0.0,0,0,0,35,1.0
2,-209.5,0.0,0,0,0,77,1.0
3,-140.5,0.0,0,0,0,39,1.0
4,-189.0,0.0,0,0,0,56,1.0
5,-223.0,0.0,0,0,0,50,1.0
6,-180.5,0.0,0,0,0,34,1.0
7,-215.0,0.0,0,0,0,42,1.0
8,-60.0,0.0,0,0,0,133,1.0
9,-191.0,0.0,0,0,0,26,1.0
10,-181.5,0.0,0,0,0,14,1.0
11,-70.5,0.0,0,0,0,117,1.0
12,-139.0,0.0,0,0,0,32,1.0
13,-198.0,0.0,0,0,0,60,1.0
14,-201.0,0.0,0,0,0,26,1.0
15,-118.5,0.0,0,0,0,122,1.0
16,-158.5,0.0,0,0,0,34,1.0
17,-186.0,0.0,0,0,0,50,1.0
18,-147.0,0.0,0,0,0,39,1.0
19,-30.0,0.0,0,0,0,52,1.0
20,-223.5,0.0,0,0,0,63,1.0
21,-203.0,0.0,0,0,0,59,1.0
22,-190.5,0.0,0,0,0,26,1.0
23,-175.0,0.0,0,0,0,27,1.0
24,-226.0,0.0,0,0,0,35,1.0
25,-233.0,0.0,0,0,0,44,1.0
26,-194.5,0.0,0,0,0,16,1.0
27,-218.0,0.0,0,0,0,56,1.0
28,-81.0,0.0,0,0,0,68,1.0
29,-155.0,0.0,0,0,0,24,1.0
30,-189.0,0.0,0,0,0,17,1.0
31,-182.0,0.0,0,0,0,31,1.0
32,-182.5,0.0,0,0,0,22,1.0
33,-164.0,0.0,0,0,0,11,1.0
34,-191.5,0.0,0,0,0,23,1.0
35,-178.0,0.0,0,0,0,49,1.0
36,-192.0,0.0,0,0,0,35,1.0
37,-146.5,0.0,0,0,0,48,1.0
38,-66.0,0.0,0,0,0,81,1.0
39,-173.0,0.0,0,0,0,34,1.0
40,-219.0,0.0,0,0,0,23,1.0
41,-201.0,0.0,0,0,0,32,1.0
42,-90.5,0.0,0,0,0,56,1.0
43,-226.0,0.0,0,0,0,48,1.0
44,-203.5,0.0,0,0,0,19,1.0
45,-178.0,0.0,0,0,0,25,1.0
46,-204.5,0.0,0,0,0,42,1.0
47,-200.0,0.0,0,0,0,29,1.0
48,-207.0,0.0,0,0,0,39,1.0
49,-181.0,0.0,0,0,0,22,1.0
50,-216.0,0.0,0,0,0,35,1.0
51,-121.0,0.0,0,0,0,53,1.0
52,-146.0,0.0,0,0,0,57,1.0
53,-167.0,0.0,0,0,0,27,1.0
54,-152.0,0.0,0,0,0,29,1.0
55,-191.0,0.0,0,0,0,16,1.0
56,-199.5,0.0,0,0,0,30,1.0
57,-169.5,0.0,0,0,0,25,1.0
58,-187.5,0.0,0,0,0,16,1.0
59,-202.5,0.0,0,0,0,34,1.0
60,-206.0,0.0,0,0,0,23,1.0
61,-180.0,0.0,0,0,0,51,1.0
62,-196.5,0.0,0,0,0,112,1.0
63,-139.0,0.0,0,0,0,50,1.0
64,-147.5,0.0,0,0,0,52,1.0
65,-145.5,0.0,0,0,0,19,1.0
66,-200.5,0.0,0,0,0,36,1.0
67,-126.5,0.0,0,0,0,44,1.0
68,-104.0,0.0,0,0,0,84,1.0
69,-180.5,0.0,0,0,0,18,1.0
70,-57.5,0.0,0,0,0,46,1.0
71,-205.0,0.0,0,0,0,26,0.9969333333333333
72,-193.0,0.0,0,0,0,23,0.994
73,-193.5,0.0,0,0,0,28,0.9904
74,-153.0,0.0,0,0,0,22,0.9876
75,-185.0,0.0,0,0,0,22,0.9848
76,-118.5,0.0,0,0,0,77,0.9746666666666667
77,-182.5,0.0,0,0,0,26,0.9713333333333334
78,-225.5,-7.7905602,-8.912103,-7.7905602,0,77,0.9612
79,-187.0,0.0,0,0,0,20,0.9586666666666667
80,-219.5,-5.47948,-6.2992387,-5.47948,0,42,0.9532
81,-199.5,0.0,0,0,0,14,0.9514666666666667
82,-157.0,-8.739963,-9.62003,-8.739963,0,80,0.9409333333333333
83,-193.0,-10.338614,-10.922911,-10.338614,0,21,0.9382666666666667
84,-134.0,-8.853712,-10.99936,-6.811958,0,65,0.9297333333333333
85,-208.0,-9.623103,-10.77351,-8.98999,0,32,0.9256
86,-156.5,-9.732846,-10.817194,-9.12423,0,99,0.9125333333333333
87,-172.0,-9.328901,-10.960587,-8.615889,0,20,0.91
88,-156.5,-8.601987,-9.635514,-8.088936,0,62,0.9018666666666667
89,-191.0,-8.447512,-9.085746,-8.447512,0,21,0.8992
90,-160.0,-8.010865,-9.584845,-7.624192,0,29,0.8954666666666666
91,-136.5,-8.596276,-9.828131,-7.449282,0,42,0.89
92,-193.0,0.0,0,0,0,27,0.8865333333333334
93,-246.0,-9.033836,-11.098032,-6.930899,0,100,0.8733333333333333
94,-194.0,-9.207983,-11.831416,-7.205692,0,64,0.8649333333333333
95,-169.5,-9.174061,-10.372286,-9.134264,0,23,0.862
96,-26.5,-11.654281,-13.875502,-10.154105,0,77,0.8518666666666667
97,-218.5,-7.0631127,-8.6054,-6.696512,0,61,0.8438666666666667
98,-164.5,-10.281677,-11.075553,-9.7679825,0,16,0.8418666666666667
99,-131.5,-7.938892,-8.876844,-7.277556,0,28,0.8382666666666667
100,-148.0,-10.53148,-12.330598,-8.457074,0,22,0.8354666666666667
101,-184.5,-10.528102,-11.424955,-10.131611,0,20,0.8329333333333333
102,-195.5,-8.890234,-11.166274,-6.2770367,0,78,0.8226666666666667
103,-153.5,-11.062343,-12.953049,-9.77613,0,46,0.8166666666666667
104,-142.0,-10.417743,-12.158445,-8.853839,0,20,0.8141333333333334
105,-145.5,-8.484884,-10.149618,-7.481705,0,30,0.8102666666666667
106,-194.5,-9.834682,-12.247446,-9.01912,0,25,0.8070666666666666
107,-174.0,-10.084913,-11.039349,-9.632822,0,28,0.8034666666666667
108,-196.5,-9.25713,-12.703124,-7.021206,0,71,0.7941333333333334
109,-132.0,-10.810161,-12.579756,-9.191697,0,70,0.7849333333333334
110,-208.5,-8.181417,-11.493525,-5.380401,0,83,0.774
111,-190.0,-8.08236,-11.033217,-6.2838836,0,19,0.7716000000000001
112,-145.0,-6.573502,-8.415712,-4.7112656,0,14,0.7698666666666667
113,-174.0,-4.7252107,-7.693108,-1.5642345,0,18,0.7676000000000001
114,-180.5,0.0,0,0,0,17,0.7654666666666666
115,-89.0,-7.141322,-9.191227,-5.0178833,0,29,0.7617333333333334
116,-134.5,-6.3647175,-8.47304,-4.89879,0,43,0.7561333333333333
117,-172.0,-8.400989,-16.25044,-5.0853024,0,66,0.7474666666666667
118,-131.5,-4.630001,-10.993804,0.7465921,0,42,0.742
119,-179.5,-5.219695,-8.766754,0.49912918,0,37,0.7372000000000001
120,-130.5,-2.1990047,-7.146668,0.55608785,0,17,0.7350666666666666
121,-125.0,-2.6877785,-5.839339,0.77310884,0,16,0.7330666666666666
122,-200.0,-3.3208814,-9.397485,0.8600978,0,44,0.7273333333333334
123,-71.0,-7.726803,-14.234045,1.2945712,0,67,0.7185333333333334
124,-179.5,-1.1603897,-6.366916,2.1226254,0,20,0.716
125,-120.5,-2.2336164,-25.381332,8.925763,0,141,0.6973333333333334
126,-142.0,32.54485,17.235855,38.706306,0,25,0.6941333333333333
127,-155.0,21.206408,15.030233,25.168848,0,13,0.6925333333333333
128,-186.0,-2.8954988,-32.43954,30.293154,0,27,0.6890666666666667
129,-128.5,21.200981,10.623414,27.094099,0,30,0.6852
130,-81.5,-1.277429,-22.624763,20.119759,0,43,0.6796
131,-196.0,15.888953,-22.285725,36.502384,0,26,0.6762666666666667
132,-133.0,0.58805156,-36.9362,34.582794,0,121,0.6602666666666667
133,-166.5,20.939903,2.9433382,32.830276,0,42,0.6548
134,-161.5,7.7479343,-9.66962,19.639238,0,11,0.6534666666666666
135,-45.0,3.4147952,-8.213542,29.132847,0,92,0.6413333333333333
136,-139.0,13.206838,-1.6747448,32.872677,0,48,0.6350666666666667
137,-66.0,-1.6526177,-28.807547,28.110855,0,43,0.6294666666666666
138,-114.5,22.488176,2.3529065,31.344769,0,33,0.6252
139,-80.5,0.8092933,-9.707022,32.068726,0,104,0.6114666666666666
140,-107.5,1.5256006,-18.573042,28.271679,0,44,0.6057333333333333
141,-55.0,-5.450255,-56.916725,2.6201844,0,131,0.5884
142,-88.5,11.778084,-3.5631478,35.772034,0,23,0.5854666666666667
143,-143.5,2.5281534,-6.294253,23.705439,0,35,0.5809333333333333
144,-174.5,-1.2945896,-17.229187,32.58276,0,37,0.5761333333333334
145,-151.0,19.507048,-8.7107,41.43175,0,12,0.5746666666666667
146,-145.5,-8.008536,-38.14103,38.302345,0,30,0.5708
147,-115.0,8.708289,-4.235308,37.65009,0,35,0.5662666666666667
148,-122.0,8.972101,-4.367383,30.602041,0,31,0.5622666666666667
149,-129.5,4.599817,-15.165581,22.806412,0,12,0.5608
150,11.0,-3.3960724,-37.60441,37.859035,0,137,0.5426666666666666
151,-174.0,10.775528,-17.058376,38.135906,0,13,0.5410666666666666
152,-124.0,18.670767,-9.318612,43.93102,0,30,0.5372
153,-152.0,16.586603,-17.143839,38.52938,0,29,0.5334666666666666
154,-54.0,3.324614,-7.889158,40.15472,0,109,0.5190666666666667
